Amount,TransactionSpeed,Device_POS,Device_Web,Device_iOS,MCC_5411,MCC_5812,MCC_5942,MCC_5968,MCC_7299
-0.028862584565141864,-0.5609044609210988,False,False,False,True,False,False,False,False
-0.9004686664099218,-1.4995474666108217,False,False,False,False,False,False,True,False
0.09830460365293381,-1.2528393998251859,False,False,True,False,False,False,False,False
0.6979685445390594,0.13207807062326685,True,False,False,True,False,False,False,False
0.20651627253320398,-0.9940840176763449,False,False,False,False,False,False,False,False
0.20345121722743503,0.18917186951845663,True,False,False,False,False,True,False,False
-0.5552912678261913,-0.6001891849315504,False,False,False,True,False,False,False,False
-0.13659601786578868,-0.4634783453751789,False,True,False,False,True,False,False,False
0.09550040411786838,0.3494535434810988,False,False,False,False,True,False,False,False
-1.1377822038076537,1.141433579531803,False,True,False,False,False,False,False,True
0.941912166108845,0.18445770263720226,False,True,False,False,False,False,False,True
0.7756818262278834,0.5767811464215788,False,True,False,False,True,False,False,False
0.022265146492792112,3.7415585127035578,False,False,False,False,False,False,False,False
-0.028688680718006194,1.2917631234117974,True,False,False,False,False,False,True,False
0.7036421575518659,0.7318248571828277,False,False,False,False,False,True,False,False
-0.8116038005235127,-0.9432757746228274,False,True,False,False,True,False,False,False
-1.1176745714825735,-0.38333750839385766,True,False,False,False,False,False,False,True
-0.6877842613628018,-0.8489924369977436,False,False,False,False,False,False,False,True
-0.8595143104094339,-0.5074772362668847,False,True,False,True,False,False,False,False
-0.2707410979501895,0.1462205712670296,False,False,True,False,False,False,False,True
0.676034921819053,-0.06225036414843347,False,True,False,False,True,False,False,False
0.09245708679299142,0.506068643202766,False,False,True,False,False,False,False,True
0.09356572381848231,0.18026733207608753,False,True,False,False,True,False,False,False
-0.3943215193210887,-1.261743937267555,False,True,False,False,False,False,False,False
-0.10677150808199377,0.07236529012738042,True,False,False,True,False,False,False,False
-0.24193827326831763,0.5359250334507092,True,False,False,False,False,False,False,False
0.21305940478168955,1.2179078422721488,True,False,False,False,False,True,False,False
-0.27871893693754574,-1.134461431473692,True,False,False,False,False,False,False,False
0.8460694083561107,-1.5734027477504708,False,False,True,False,False,False,False,True
0.26212202765488546,2.2115494615765035,False,False,False,False,False,False,False,True
0.9810622696952986,-0.07901184639289284,False,False,False,False,False,False,False,True
-0.7766273892683189,0.6349225379570471,False,False,False,False,True,False,False,False
-0.859296930600514,0.019985658113445173,False,True,False,False,False,True,False,False
0.023243355632931006,1.5044244293883755,True,False,False,False,False,False,False,False
0.5302165459956595,-0.75470909937266,False,False,False,True,False,False,False,False
-0.7073919201273666,-0.5813325174065336,True,False,False,False,False,False,False,True
0.05682853611103827,-1.2109356942140375,False,False,True,False,False,True,False,False
-0.3100651053837791,-0.5436191823565002,False,False,True,False,False,True,False,False
-0.35817125709772807,-0.5006678841050731,False,False,False,False,False,False,True,False
0.40437537461199446,0.6757786509279169,False,False,True,False,False,False,True,False
0.6634703688634891,1.5091385962696293,True,False,False,False,False,False,False,False
